Statistical profiling result from isolate-0x3963e20-2320-v8.log, (293642 ticks, 59797 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  27234    9.3%          /usr/local/bin/node
   3033    1.0%          /lib/x86_64-linux-gnu/libm-2.24.so
   2730    0.9%          /lib/x86_64-linux-gnu/libc-2.24.so
     98    0.0%          [vdso]
     58    0.0%          /lib/x86_64-linux-gnu/libpthread-2.24.so
     19    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
    666    0.2%    0.3%  LazyCompile: *_transform /home/runner/dbdjs/node_modules/prism-media/src/opus/Opus.js:153:19
    505    0.2%    0.2%  LazyCompile: *core_salsa20 /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:56:22
    491    0.2%    0.2%  LazyCompile: *ondata _stream_readable.js:716:18
    487    0.2%    0.2%  LazyCompile: *_encrypt /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:256:11
    448    0.2%    0.2%  LazyCompile: *poly1305.blocks /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:498:37
    384    0.1%    0.1%  LazyCompile: *_write /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:98:9
    383    0.1%    0.1%  LazyCompile: *pipeOnDrainFunctionResult _stream_readable.js:791:44
    374    0.1%    0.1%  LazyCompile: *crypto_stream_xor /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:454:27
    362    0.1%    0.1%  LazyCompile: *onwrite _stream_writable.js:431:17
    321    0.1%    0.1%  LazyCompile: *Socket.send dgram.js:554:33
    319    0.1%    0.1%  LazyCompile: *processTimers internal/timers.js:482:25
    292    0.1%    0.1%  LazyCompile: *afterWrite _stream_writable.js:480:20
    285    0.1%    0.1%  LazyCompile: *core_hsalsa20 /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:249:23
    282    0.1%    0.1%  LazyCompile: *lookup dns.js:92:16
    279    0.1%    0.1%  LazyCompile: *percolateDown internal/priority_queue.js:49:16
    277    0.1%    0.1%  LazyCompile: *_copy buffer.js:205:15
    275    0.1%    0.1%  LazyCompile: *poly1305.finish /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:711:37
    266    0.1%    0.1%  LazyCompile: *clearBuffer _stream_writable.js:497:21
    237    0.1%    0.1%  LazyCompile: *setTimeout timers.js:133:20
    233    0.1%    0.1%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:69:35
    232    0.1%    0.1%  LazyCompile: *concat buffer.js:545:32
    223    0.1%    0.1%  LazyCompile: *add /home/runner/dbdjs/node_modules/discord.js/src/managers/BaseManager.js:44:6
    204    0.1%    0.1%  RegExp: ^screen|^xterm|^vt100|color|ansi|cygwin|linux
    199    0.1%    0.1%  RegExp: \bytInitialData("\])?\s*=\s*\{
    197    0.1%    0.1%  LazyCompile: *emit events.js:262:44
    194    0.1%    0.1%  RegExp: bytes=(\d+)-(\d+)?
    190    0.1%    0.1%  LazyCompile: *crypto_onetimeauth /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:819:28
    176    0.1%    0.1%  LazyCompile: *set /home/runner/dbdjs/node_modules/@discordjs/collection/dist/index.js:44:8
    173    0.1%    0.1%  LazyCompile: *percolateUp internal/priority_queue.js:73:14
    167    0.1%    0.1%  LazyCompile: *<anonymous> /home/runner/dbdjs/node_modules/discord.js/src/client/voice/networking/VoiceUDPClient.js:77:24
    163    0.1%    0.1%  RegExp: \$round
    160    0.1%    0.1%  LazyCompile: *emitReadable _stream_readable.js:542:22
    152    0.1%    0.1%  LazyCompile: *poly1305 /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:467:24
    151    0.1%    0.1%  LazyCompile: *processPromiseRejections internal/process/promises.js:171:34
    145    0.0%    0.1%  LazyCompile: *hidden internal/errors.js:282:25
    141    0.0%    0.1%  LazyCompile: *alloc buffer.js:369:30
    140    0.0%    0.1%  LazyCompile: *push internal/streams/buffer_list.js:18:7
    138    0.0%    0.1%  RegExp: \$title
    136    0.0%    0.1%  LazyCompile: *_setSpeaking /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:301:15
    131    0.0%    0.1%  LazyCompile: *Transform._write _stream_transform.js:169:38
    127    0.0%    0.0%  LazyCompile: *readableAddChunk _stream_readable.js:221:26
    124    0.0%    0.0%  RegExp: \$sub
    121    0.0%    0.0%  LazyCompile: *nop _stream_writable.js:66:13
    119    0.0%    0.0%  LazyCompile: *_copyActual buffer.js:247:21
    113    0.0%    0.0%  LazyCompile: *get _stream_writable.js:684:8
    109    0.0%    0.0%  LazyCompile: *<anonymous> buffer.js:356:36
    108    0.0%    0.0%  LazyCompile: *Transform._read _stream_transform.js:186:37
    106    0.0%    0.0%  RegExp: ^((?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])[.]){3}(?:[0-9]|[1-9][0-9]|1[0-9][0-9]|2[0-4][0-9]|25[0-5])$
    102    0.0%    0.0%  LazyCompile: *adjustOffset buffer.js:1087:22
     97    0.0%    0.0%  LazyCompile: *writeUIntBE internal/buffer.js:747:21
     94    0.0%    0.0%  LazyCompile: *<anonymous> /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:235:18
     89    0.0%    0.0%  LazyCompile: *get internal/bootstrap/pre_execution.js:309:8
     87    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:588:24
     85    0.0%    0.0%  RegExp: \$eval
     73    0.0%    0.0%  LazyCompile: *checkArrayTypes /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:2162:25
     56    0.0%    0.0%  RegExp: \$replaceText
     54    0.0%    0.0%  LazyCompile: *_readTag /home/runner/dbdjs/node_modules/prism-media/src/core/WebmBase.js:100:11
     53    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:76:8
     50    0.0%    0.0%  LazyCompile: *afterDns dgram.js:639:20
     49    0.0%    0.0%  LazyCompile: *checkLengths /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:2152:22
     46    0.0%    0.0%  RegExp: ^win
     40    0.0%    0.0%  RegExp: \$description
     39    0.0%    0.0%  LazyCompile: *first internal/streams/buffer_list.js:94:8
     36    0.0%    0.0%  LazyCompile: *_playChunk /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:251:13
     26    0.0%    0.0%  RegExp: ^v0\.8\.
     26    0.0%    0.0%  LazyCompile: *consume internal/streams/buffer_list.js:78:10
     22    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:378:35
     21    0.0%    0.0%  LazyCompile: *_step /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:228:8
     20    0.0%    0.0%  LazyCompile: *nacl.secretbox /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:2179:26
     20    0.0%    0.0%  LazyCompile: *_transform /home/runner/dbdjs/node_modules/prism-media/src/core/VolumeTransformer.js:57:13
     19    0.0%    0.0%  LazyCompile: *User /home/runner/dbdjs/node_modules/discord.js/src/structures/User.js:21:14
     17    0.0%    0.0%  LazyCompile: *exports.cutAfterJSON /home/runner/dbdjs/node_modules/ytdl-core/lib/utils.js:58:24
     16    0.0%    0.0%  RegExp: \$onlyIf\[
     16    0.0%    0.0%  RegExp: \$loopQueue
     16    0.0%    0.0%  LazyCompile: *nextTick internal/process/task_queues.js:105:18
     14    0.0%    0.0%  RegExp: \$multi
     14    0.0%    0.0%  LazyCompile: *slice buffer.js:1104:40
     12    0.0%    0.0%  RegExp: \$loopStatus
     11    0.0%    0.0%  LazyCompile: *<anonymous> /home/runner/dbdjs/node_modules/discord.js/src/client/voice/networking/VoiceUDPClient.js:80:89
     10    0.0%    0.0%  LazyCompile: *insert internal/priority_queue.js:34:9
      9    0.0%    0.0%  LazyCompile: *normalizeString path.js:52:25
      8    0.0%    0.0%  LazyCompile: *afterTransform _stream_transform.js:82:24
      8    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:291:36
      8    0.0%    0.0%  LazyCompile: *Transform.push _stream_transform.js:150:36
      7    0.0%    0.0%  RegExp: \$color\[
      7    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      7    0.0%    0.0%  LazyCompile: *getInfo /home/runner/dbdjs/node_modules/ws/lib/receiver.js:161:10
      6    0.0%    0.0%  RegExp: UTF-?8$
      6    0.0%    0.0%  RegExp: (?:a=)?Cy(?:\.(Bi||M2|j8)|\['(Bi||M2|j8)'\]|\["(Bi||M2|j8)"\])\(a,(\d+)\)
      6    0.0%    0.0%  LazyCompile: *resolve path.js:973:10
      6    0.0%    0.0%  LazyCompile: *poly1305.update /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:787:37
      6    0.0%    0.0%  LazyCompile: *insert internal/timers.js:345:16
      6    0.0%    0.0%  LazyCompile: *FastBuffer internal/buffer.js:950:1
      5    0.0%    0.0%  LazyCompile: *get /home/runner/dbdjs/node_modules/@discordjs/collection/dist/index.js:34:8
      5    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:393:52
      5    0.0%    0.0%  LazyCompile: *_transform /home/runner/dbdjs/node_modules/prism-media/src/core/WebmBase.js:29:13
      3    0.0%    0.0%  RegExp: \$voiceID
      3    0.0%    0.0%  LazyCompile: *startLoop /home/runner/dbdjs/node_modules/ws/lib/receiver.js:124:12
      3    0.0%    0.0%  LazyCompile: *slice buffer.js:667:12
      3    0.0%    0.0%  LazyCompile: *flow _stream_readable.js:1004:14
      3    0.0%    0.0%  LazyCompile: *_write /home/runner/dbdjs/node_modules/ws/lib/receiver.js:73:9
      3    0.0%    0.0%  LazyCompile: *_createPacket /home/runner/dbdjs/node_modules/discord.js/src/client/voice/dispatcher/StreamDispatcher.js:271:16
      3    0.0%    0.0%  LazyCompile: *_clone /home/runner/dbdjs/node_modules/discord.js/src/structures/Presence.js:112:9
      2    0.0%    0.0%  RegExp: var ([a-zA-Z_\$][a-zA-Z_0-9]*)=\{((?:(?:(?:[a-zA-Z_\$][a-zA-Z_0-9]*|(?:'[^'\\]*(:?\\[\s\S][^'\\]*)*'|"[^"\\]*(:?\\[\s\S][^"\\]*)*")):function\(a\)\{(?:return )?a\.reverse\(\)\}|(?:[a-zA-Z_\$][a-zA-Z_0-9]*|(?:'[^'\\]*(:?\\[\s\S][^'\\]*)*'|"[^"\\]*(:?\\[\s\S][^"\\]*)*")):function\(a,b\)\{return a\.slice\(b\)\}|(?:[a-zA-Z_\$][a-zA-Z_0-9]*|(?:'[^'\\]*(:?\\[\s\S][^'\\]*)*'|"[^"\\]*(:?\\[\s\S][^"\\]*)*")):function\(a,b\)\{a\.splice\(0,b\)\}|(?:[a-zA-Z_\$][a-zA-Z_0-9]*|(?:'[^'\\]*(:?\\[\s\S][^'\\]*)*'|"[^"\\]*(:?\\[\s\S][^"\\]*)*")):function\(a,b\)\{var c=a\[0\];a\[0\]=a\[b(?:%a\.length)?\];a\[b(?:%a\.length)?\]=c(?:;return a)?\}),?\r?\n?)+)\};
      2    0.0%    0.0%  LazyCompile: *toInteger buffer.js:195:19
      2    0.0%    0.0%  LazyCompile: *shift internal/streams/buffer_list.js:36:8
      2    0.0%    0.0%  LazyCompile: *readPackageScope internal/modules/cjs/loader.js:262:26
      2    0.0%    0.0%  LazyCompile: *popAsyncContext internal/async_hooks.js:449:25
      2    0.0%    0.0%  LazyCompile: *onStreamRead internal/stream_base_commons.js:165:22
      2    0.0%    0.0%  LazyCompile: *noop internal/util/debuglog.js:36:14
      2    0.0%    0.0%  LazyCompile: *isUint8Array internal/util/types.js:23:22
      2    0.0%    0.0%  LazyCompile: *incRefCount internal/timers.js:294:21
      2    0.0%    0.0%  LazyCompile: *Socket.read net.js:620:33
      2    0.0%    0.0%  LazyCompile: *Activity /home/runner/dbdjs/node_modules/discord.js/src/structures/Presence.js:145:14
      1    0.0%    0.0%  RegExp: \$user
      1    0.0%    0.0%  RegExp: \$onlyForIDs
      1    0.0%    0.0%  RegExp: ([^:]*)
      1    0.0%    0.0%  LazyCompile: *writeU_Int32BE internal/buffer.js:796:24
      1    0.0%    0.0%  LazyCompile: *vintLength /home/runner/dbdjs/node_modules/prism-media/src/core/WebmBase.js:199:20
      1    0.0%    0.0%  LazyCompile: *resolve /home/runner/dbdjs/node_modules/discord.js/src/util/BitField.js:145:17
      1    0.0%    0.0%  LazyCompile: *readUInt16BE internal/buffer.js:323:22
      1    0.0%    0.0%  LazyCompile: *onMessage dgram.js:915:19
      1    0.0%    0.0%  LazyCompile: *emitBeforeScript internal/async_hooks.js:405:26
      1    0.0%    0.0%  LazyCompile: *doWrite _stream_writable.js:393:17
      1    0.0%    0.0%  LazyCompile: *crypto_stream_salsa20_xor /home/runner/dbdjs/node_modules/tweetnacl/nacl-fast.js:397:35
      1    0.0%    0.0%  LazyCompile: *createUnsafeBuffer buffer.js:146:28
      1    0.0%    0.0%  LazyCompile: *TimersList internal/timers.js:236:20
      1    0.0%    0.0%  LazyCompile: *Timeout internal/timers.js:162:17
      1    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:567:37
      1    0.0%    0.0%  LazyCompile: *<anonymous> internal/per_context/primordials.js:23:10

 [C++]:
   ticks  total  nonlib   name
  166671   56.8%   64.0%  epoll_pwait
  10669    3.6%    4.1%  __libc_sendmsg
   1442    0.5%    0.6%  v8impl::(anonymous namespace)::FunctionCallbackWrapper::Invoke(v8::FunctionCallbackInfo<v8::Value> const&)
    358    0.1%    0.1%  __lll_unlock_wake
    331    0.1%    0.1%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    301    0.1%    0.1%  __write
    254    0.1%    0.1%  node::UDPWrap::Send(v8::FunctionCallbackInfo<v8::Value> const&)
    226    0.1%    0.1%  v8::Context::GetNumberOfEmbedderDataFields()
    199    0.1%    0.1%  v8::External::Value() const
    176    0.1%    0.1%  v8::Context::Enter()
    171    0.1%    0.1%  node::InternalCallbackScope::~InternalCallbackScope()
    165    0.1%    0.1%  napi_unwrap
    162    0.1%    0.1%  __libc_malloc
    137    0.0%    0.1%  node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
    124    0.0%    0.0%  v8::internal::PrototypeIterator::Advance()
    118    0.0%    0.0%  __GI___pthread_mutex_lock
    111    0.0%    0.0%  __libc_realloc
